"WONUM","STATUS","STATUSDATE","ZZCREATEDATE","LOCATION","DESCRIPTION","FAILURECODE","PROBLEMCODE","JPNUM","ZZREQNUM","FIRSTAPPRSTATUS","ZZLEADPOSSIBLE","ZZLEAD","ZZSUBWORKTYPE","ZZWORKOWNER","PARENT","PARENTSTATUS","PARENTSTATUSDATE","PARENTCRAFT","PARENTFC","PARENTPC"
"54888623",WTSCH,2017-11-02 14:36:19.000,2017-11-02 14:36:18.000,"038.06.006.F07.07H",needs vendor for floor tiles whole apartment,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"54802844",CLOSE,2017-11-02 14:36:21.000,MAINT,FLOOR,FLOORTILESDML
"55023241",WTSCH,2017-11-14 10:21:35.000,2017-11-14 10:21:33.000,"038.04.004.F03.03A.KIT01",kitchen floor tiles needs 30,FLOOR,FLOORTILESDML,V10001,,,Y,1,APARTMENT,DEV038,"54898244",CLOSE,2017-11-14 10:21:37.000,MAINT,FLOOR,FLOORTILESDML
"55108389",WTSCH,2017-11-21 10:05:26.000,2017-11-21 10:05:25.000,"038.02.002.F03.03F",PAINT - VENDOR,PAINT,NEEDSPAINTING,V10001,"1057927",,Y,1,,DEV038,"55015470",CLOSE,2017-11-21 11:52:00.000,PAINTSPV,PAINT,NEEDSPAINTING
"55066809",PENDREVIEW,2017-12-19 08:59:13.000,2017-11-17 09:16:44.000,"038.09.009.F09.09C",Kitchen Condition of Paint ceiling paint chip Amount of Unsatisfactory Paint in Square Feet [<2,PAINT,NEEDSPAINTING,V10001,,APPR,Y,1,LBPDEFCU6,DEV038,"52085013",CLOSE,2017-11-18 20:23:08.000,VENDOR,,
"56308221",WTSCH,2018-01-11 09:20:40.000,2018-01-11 09:20:39.000,"038.08.008.F08.08F",tiles dml,FLOOR,CERAMICTILESDML,V10001,,,Y,1,,DEV038,"56188239",CLOSE,2018-01-11 09:20:41.000,MAINT,FLOOR,FLOORTILESDML
"56317128",WTSCH,2018-01-11 16:05:17.000,2018-01-11 16:05:15.000,"038.01.001.F09.09H.FH01",tiles broken all over apt,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"56218872",CLOSE,2018-01-11 16:05:17.000,MAINT,FLOOR,FLOORTILESDML
"55075526",PENDREVIEW,2018-01-17 16:20:53.000,2017-11-17 15:31:08.000,"038.11.011.F08.08H",Bathroom Condition of Paint chipping and peeling paint Amount of Unsatisfactory Paint in Square Fee,PAINT,NEEDSPAINTING,V10001,,INPRG,,1,LBPDEFCU6,DEV038,"52092103",CLOSE,2017-11-18 20:20:02.000,VENDOR,,
"56573883",WTSCH,2018-01-31 11:29:03.000,2018-01-31 11:29:01.000,"038.05.005.F01.01G",Kitchen floor tiles uneven,FLOOR,FLOORCOVERINGDM,V10001,,,W,1,,DEV038,"56507197",CLOSE,2018-01-31 11:29:04.000,MAINT,FLOOR,FLOORTILESDML
"55070109",PENDREVIEW,2018-02-08 08:29:23.000,2017-11-17 11:04:48.000,"038.13.013.F08.08C",Bathroom Condition of Paint paint chipping and cracking on ceiling Amount of Unsatisfactory Paint i,PAINT,NEEDSPAINTING,V10001,,INPRG,Y,1,LBPDEFCU6,DEV038,"52096518",CLOSE,2017-11-18 20:06:36.000,VENDOR,,
"56822533",WTSCH,2018-02-16 14:05:38.000,2018-02-16 14:05:38.000,"038.05.005.F12.12E",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,"1056033",,Y,1,,DEV038,"56468465",CLOSE,2018-02-16 14:06:15.000,MAINT,FLOOR,FLOORTILESDML
