"KRONOS_BADGE_NUMBER","EMPLOYEE_ID","BOROUGH_NAME","DEPARTMENT_NAME","WORK_LOC_ID","LOCATION_NAME","NYC_TITLE"
380405,1754601,MANHATTAN,Manhattan Property Management Department,"0261",Taft Houses,Caretaker
81883,1631037,BRONX,Bronx Property Management Department,"0537",Soundview,Caretaker
73178,1223558,MANHATTAN,Manhattan Property Management Department,"0403",Manhattan Neighborhood 03,Plasterer
68870,375407,BROOKLYN,Brooklyn Property Management Department,"0202",Red Hook East,Housing Assistant
56523,485930,BROOKLYN,Brooklyn Property Management Department,"0568",Howard Houses,Secretary
80969,1359403,BROOKLYN,Brooklyn Property Management Department,"0223",Cooper Park,Caretaker
73740,1145197,MANHATTAN,Manhattan Property Management Department,"0238",Lehman Village,Supervisor of Housing Caretakers
84584,1332582,BRONX,NextGen Ops 1 Property Mgmt Dept*,"0834",NextGen Ops 1 - Manhattan Planning Unit,City Seasonal Aide
57903,481559,MANHATTAN,Manhattan Property Management Department,"0530",Amsterdam-Harborview Terrace,Housing Assistant
380142,852890,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
75632,575181,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,Caretaker
72504,1163140,BRONX,Bronx Property Management Department,"0382",Bronx Neighborhood 02,Caretaker
379908,1754344,BRONX,Bronx Property Management Department,"0535",Forest Consolidation,Caretaker
74767,1273760,BRONX,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,Caretaker
383059,1842144,BRONX,Bronx Property Management Department,"0368",Sedgwick,Caretaker
383292,1460576,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
381081,1828427,QUEENS,Queens-SI Property Mgmt Dept,"0398",Queensbridge North,Maintenance Worker (Non-Comp)
383038,1843172,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,Caretaker
383385,1843267,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
