ElectDist,Shape_Leng,Shape_Area,coun_dist
"23001",25826.49843070000,26134716.23360000178,"32"
"23002",13932.13045820000,5637463.14639000036,"32"
"23006",8261.76381854000,3188045.61989000021,"32"
"23008",9028.97607303000,2914809.53542000009,"32"
"23009",8989.99745229000,2779037.99041000009,"32"
"23010",8313.33800294000,1943977.83909999998,"32"
"23015",3136.71743942000,515886.57345099997,"32"
"23020",665.70383604400,10885.28755230000,"32"
"23025",10190.81650670000,2168893.75581000000,"31"
"23026",10826.85950930000,1380737.13188000000,"31"
"23028",9642.09958206000,2837484.94821000006,"31"
"23029",8036.92254523000,1783461.42580999993,"31"
"23030",6480.07824342000,1210847.68381999992,"31"
"23031",7227.81633819000,1491907.89296000008,"31"
"23032",3136.01804750000,408044.27137700003,"31"
"23033",7280.56456135000,2789651.07062999997,"31"
"23034",11041.90834260000,2987460.91049000015,"31"
"23035",7194.22552028000,2567238.75939999986,"31"
"23036",11961.92841430000,4531221.21700000018,"31"
"23037",11654.29192680000,4854135.63454000000,"31"
"23038",8847.66868652000,1773629.06844999990,"31"
"23040",30058.69191930000,9303100.18624999933,"32"
"23041",17077.69900280000,5711798.16756999958,"32"
"23042",6496.85604820000,1476630.44414000004,"31"
"23043",5576.98732937000,992213.95288899995,"32"
"23044",8226.79006557000,2976674.73260999983,"32"
"23045",9213.51308671000,4248682.98378000036,"32"
"23046",7941.18112574000,3678814.08416000009,"32"
"23047",7085.15934138000,2797073.37182000000,"32"
"23048",8368.50142202000,3552079.85815999983,"32"
"23049",9877.01633058000,3923296.45767999999,"32"
"23050",25013.15434060000,4831874.50318999961,"32"
"23051",9332.30127371000,2975385.85557000013,"32"
"23052",11486.27291210000,5077753.93883999996,"32"
"23053",8207.74024375000,3246659.18678000011,"32"
"23055",8484.34124775000,2818460.42799000023,"32"
"23056",6205.03246061000,1863496.65917000012,"32"
"23057",7155.66044985000,1688254.79330000002,"32"
"23058",8910.03325992000,3301384.05800000019,"32"
"23059",7427.83185172000,3188760.78354000021,"32"
"23060",9412.20687094000,2960047.58510999987,"32"
"23061",8352.32863267000,2055615.76625000010,"32"
"23062",5129.35337517000,1204285.24552999996,"32"
"23063",5211.53986928000,987993.02893100004,"32"
"23064",7022.01732199000,1831375.61647000001,"32"
"23065",20453.47129960000,4771951.18788999971,"32"
"23066",5223.66695998000,1219669.31991999992,"32"
"23067",4881.02057147000,1025851.58213999995,"32"
"23068",4299.55730873000,747945.19091600005,"32"
"23069",6221.78201109000,1434523.58820000011,"32"
"23071",1973.39711074000,118424.06677000000,"31"
"23073",6297.03921081000,2121487.57365000015,"31"
"23074",1777.94334954000,6681.17049495000,"32"
"23077",509.40976034300,14080.17271830000,"32"
"23078",1075.80808566000,23316.53094010000,"32"
"23079",1116.32991647000,27507.99790870000,"32"
"23081",4596.65527941000,239983.99042900000,"31"
"23082",26956.58741530000,17681514.28260000050,"31"
"23084",11915.63204520000,3647383.13451999985,"32"
"23085",6697.99361521000,1322459.09746999992,"32"
"23087",8513.90770111000,1864548.01676000003,"32"
"23088",7273.84010085000,1561589.65754000004,"31"
"23089",6790.16372817000,1522079.10844999994,"32"
"23090",27350.32012090000,14007228.48799999990,"32"
"23091",13331.53791990000,9596967.81189000048,"32"
"23093",3694.09966629000,672963.87627899996,"32"
"24001",10761.13526100000,6257212.17717999965,"23"
