OBJECTID,DEVELOPMEN,BOROUGH,TDS_NUM,BLDG_NUM,SH_NUM,HOUSE_NUM,STREET,ADDRESS,LOCATION_C,PROGRAM,RESIDENTIA,FACILITY,CONS_TDS,HAS_MO
"1",1010 EAST 178TH STREET,BRONX,"180","001","013","2021",BOSTON ROAD,2021 BOSTON ROAD,"180001013",FEDERAL,,,"180",false
"2",1010 EAST 178TH STREET,BRONX,"180","001","013","1010",EAST 178TH STREET,1010 EAST 178TH STREET,"180001013",FEDERAL,RESIDENTIAL,DEVELOPMENT MANAGEMENT OFFICE/ BOILER/ STOREROOM,"180",true
"3",1010 EAST 178TH STREET,BRONX,"180","001","013","1030",EAST 178TH STREET,1030 EAST 178TH STREET,"180001013",FEDERAL,,COMMUNITY CENTER,"180",false
"4",1010 EAST 178TH STREET,BRONX,"180","001","013","1012",EAST 178TH STREET,1012 EAST 178TH STREET,"180001013",FEDERAL,,PLASTERERS SHOP,"180",false
"5",104-14 TAPSCOTT STREET,BROOKLYN,"242","001","040","114",TAPSCOTT STREET,114 TAPSCOTT STREET,"242001040",FEDERAL,,,"167",false
"6",104-14 TAPSCOTT STREET,BROOKLYN,"242","001","040","104",TAPSCOTT STREET,104 TAPSCOTT STREET,"242001040",FEDERAL,RESIDENTIAL,BOILER,"167",false
"7",1162-1176 WASHINGTON AVENUE,BRONX,"233","001","003","1176",WASHINGTON AVENUE,1176 WASHINGTON AVENUE,"233001003",FEDERAL,,,"308",false
"8",1162-1176 WASHINGTON AVENUE,BRONX,"233","001","003","1174",WASHINGTON AVENUE,1174 WASHINGTON AVENUE,"233001003",FEDERAL,,,"308",false
"9",1162-1176 WASHINGTON AVENUE,BRONX,"233","001","003","1162",WASHINGTON AVENUE,1162 WASHINGTON AVENUE,"233001003",FEDERAL,RESIDENTIAL,COMMUNITY OPERATIONS SPACE (VACANT)/ BOILER,"308",false
"10",131 SAINT NICHOLAS AVENUE,MANHATTAN,"154","001","010","131",SAINT NICHOLAS AVENUE,131 SAINT NICHOLAS AVENUE,"154001010",FEDERAL,RESIDENTIAL,DAY CARE CENTER/ BOILER,"097",false
"11",1471 WATSON AVENUE,BRONX,"214","001","029","1473",WATSON AVENUE,1473 WATSON AVENUE,"214001029",FEDERAL,,,"067",false
"12",1471 WATSON AVENUE,BRONX,"214","001","029","1471",WATSON AVENUE,1471 WATSON AVENUE,"214001029",FEDERAL,RESIDENTIAL,BOILER,"067",false
"13",154 WEST 84TH STREET,MANHATTAN,"359","001","047","152",WEST 84TH STREET,152 WEST 84TH STREET,"359001047",FEDERAL,,,"359",false
"14",154 WEST 84TH STREET,MANHATTAN,"359","001","047","156",WEST 84TH STREET,156 WEST 84TH STREET,"359001047",FEDERAL,,BOILER,"359",false
"15",154 WEST 84TH STREET,MANHATTAN,"359","001","047","154",WEST 84TH STREET,154 WEST 84TH STREET,"359001047",FEDERAL,RESIDENTIAL,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ MAINTENANCE SHOP,"359",false
"16",303 VERNON AVENUE,BROOKLYN,"156","001","025","1060",MYRTLE AVENUE,1060 MYRTLE AVENUE,"156001025",FEDERAL,,COMMUNITY OPERATIONS SPACE,"073",false
"17",303 VERNON AVENUE,BROOKLYN,"156","001","025","305",VERNON AVENUE,305 VERNON AVENUE,"156001025",FEDERAL,,,"073",false
"18",303 VERNON AVENUE,BROOKLYN,"156","001","025","301",VERNON AVENUE,301 VERNON AVENUE,"156001025",FEDERAL,,,"073",false
"19",303 VERNON AVENUE,BROOKLYN,"156","001","025","303",VERNON AVENUE,303 VERNON AVENUE,"156001025",FEDERAL,RESIDENTIAL,BOILER/ ROOFTOP LEASE LOCATION/BRICKLAYERS SHOP,"073",false
"20",335 EAST 111TH STREET,MANHATTAN,"203","001","035","335",EAST 111TH STREET,335 EAST 111TH STREET,"203001035",FEDERAL,RESIDENTIAL,COMMUNITY OPERATIONS SPACE/ BOILER,"064",false
"21",344 EAST 28TH STREET,MANHATTAN,"185","001","003","340",EAST 28TH STREET,340 EAST 28TH STREET,"185001003",MIXED FINANCE/LLC2,,CONTRACT ADMINISTRATION FIELD OFFICE,"153",false
"22",344 EAST 28TH STREET,MANHATTAN,"185","001","003","342",EAST 28TH STREET,342 EAST 28TH STREET,"185001003",MIXED FINANCE/LLC2,,,"153",false
"23",344 EAST 28TH STREET,MANHATTAN,"185","001","003","344",EAST 28TH STREET,344 EAST 28TH STREET,"185001003",MIXED FINANCE/LLC2,RESIDENTIAL,CARPENTERS SHOP,"153",false
"24",344 EAST 28TH STREET,MANHATTAN,"185","001","003","346",EAST 28TH STREET,346 EAST 28TH STREET,"185001003",MIXED FINANCE/LLC2,,,"153",false
"25",45 ALLEN STREET,MANHATTAN,"265","001","003","45",ALLEN STREET,45 ALLEN STREET,"265001003",FEDERAL,RESIDENTIAL,MANHATTAN SOCIAL SERVICES BOROUGH OFFICE/ BOILER,"100",false
"26",45 ALLEN STREET,MANHATTAN,"265","002","004",82GAR,ELDRIDGE STREET,82GAR ELDRIDGE STREET,"265002004",FEDERAL,,GARAGE,"100",false
"27",830 AMSTERDAM AVENUE,MANHATTAN,"150","001","029","832",AMSTERDAM AVENUE,832 AMSTERDAM AVENUE,"150001029",FEDERAL,,,"082",false
"28",830 AMSTERDAM AVENUE,MANHATTAN,"150","001","029","830",AMSTERDAM AVENUE,830 AMSTERDAM AVENUE,"150001029",FEDERAL,RESIDENTIAL,BOILER,"082",false
"29",ADAMS,BRONX,"118","000","800","730",TINTON AVENUE,730 TINTON AVENUE,"118000800",FEDERAL,,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),"118",false
"30",ADAMS,BRONX,"118","001","001","735",EAST 152ND STREET,735 EAST 152ND STREET,"118001001",FEDERAL,,SENIOR CENTER,"118",false
"31",ADAMS,BRONX,"118","001","001","745",EAST 152ND STREET,745 EAST 152ND STREET,"118001001",FEDERAL,RESIDENTIAL,PLUMBERS SHOP,"118",false
"32",ADAMS,BRONX,"118","001","001","755",EAST 152ND STREET,755 EAST 152ND STREET,"118001001",FEDERAL,,RESIDENT EMPLOYMENT SERVICES BRONX OFFICE/ COMMUNITY OPERATIONS SPACE (VACANT),"118",false
"33",ADAMS,BRONX,"118","002","002","690",WESTCHESTER AVENUE,690 WESTCHESTER AVENUE,"118002002",FEDERAL,,DAY CARE CENTER,"118",false
"34",ADAMS,BRONX,"118","002","002","700",WESTCHESTER AVENUE,700 WESTCHESTER AVENUE,"118002002",FEDERAL,RESIDENTIAL,CONTRACTOR PAINT SHOP/ ELEVATOR SHOP/ NYCHA PAINT SHOP/ X-MAN SHOP,"118",false
"35",ADAMS,BRONX,"118","003","003","720",WESTCHESTER AVENUE,720 WESTCHESTER AVENUE,"118003003",FEDERAL,RESIDENTIAL,BRICKLAYERS SHOP/ GLASS SHOP/ GROUNDS SHOP/ PLASTERERS SHOP,"118",false
"36",ADAMS,BRONX,"118","004","004","731",TINTON AVENUE,731 TINTON AVENUE,"118004004",FEDERAL,,DEVELOPMENT MANAGEMENT OFFICE,"118",true
"37",ADAMS,BRONX,"118","004","004","721",TINTON AVENUE,721 TINTON AVENUE,"118004004",FEDERAL,RESIDENTIAL,STOREROOM,"118",false
"38",ADAMS,BRONX,"118","004","004","711",TINTON AVENUE,711 TINTON AVENUE,"118004004",FEDERAL,,DEVELOPMENT MAINTENANCE SHOP,"118",false
"39",ADAMS,BRONX,"118","005","005","710",TINTON AVENUE,710 TINTON AVENUE,"118005005",FEDERAL,RESIDENTIAL,BOILER,"118",false
"40",ADAMS,BRONX,"118","006","006","690",TINTON AVENUE,690 TINTON AVENUE,"118006006",FEDERAL,,,"118",false
"41",ADAMS,BRONX,"118","006","006","680",TINTON AVENUE,680 TINTON AVENUE,"118006006",FEDERAL,RESIDENTIAL,,"118",false
"42",ADAMS,BRONX,"118","007","007","815",EAST 152ND STREET,815 EAST 152ND STREET,"118007007",FEDERAL,RESIDENTIAL,CARPENTERS SHOP,"118",false
"43",ALBANY,BROOKLYN,"031","001","001","1229",PARK PLACE,1229 PARK PLACE,"031001001",FEDERAL,,DEVELOPMENT MANAGEMENT OFFICE/BULK ROOM/ MAINTENANCE STOREROOM,"031",true
"44",ALBANY,BROOKLYN,"031","001","001","180",TROY AVENUE,180 TROY AVENUE,"031001001",FEDERAL,RESIDENTIAL,,"031",false
"45",ALBANY,BROOKLYN,"031","002","002","1191",PARK PLACE,1191 PARK PLACE,"031002002",FEDERAL,RESIDENTIAL,BRICKLAYERS SHOP/ CARPENTERS SHOP/ EXTERMINATOR SHOP/ GLAZIERS SHOP/CONTRACTOR PAINT SHOP/ PAINT SHOP,"031",false
"46",ALBANY,BROOKLYN,"031","003","003","205",ALBANY AVENUE,205 ALBANY AVENUE,"031003003",FEDERAL,RESIDENTIAL,ELEVATOR SHOP,"031",false
"47",ALBANY,BROOKLYN,"031","003","003","1185",PARK PLACE,1185 PARK PLACE,"031003003",FEDERAL,,DAY CARE CENTER,"031",false
"48",ALBANY,BROOKLYN,"031","004","004","193",ALBANY AVENUE,193 ALBANY AVENUE,"031004004",FEDERAL,RESIDENTIAL,BOILER/ CARETAKERS X-SHOP,"031",false
"49",ALBANY,BROOKLYN,"031","005","005","1008",SAINT MARKS AVENUE,1008 SAINT MARKS AVENUE,"031005005",FEDERAL,RESIDENTIAL,,"031",false
"50",ALBANY,BROOKLYN,"031","006","006","162",TROY AVENUE,162 TROY AVENUE,"031006006",FEDERAL,RESIDENTIAL,,"031",false
"51",ALBANY,BROOKLYN,"031","006","006","164",TROY AVENUE,164 TROY AVENUE,"031006006",FEDERAL,,COMMUNITY CENTER,"031",false
"52",ALBANY II,BROOKLYN,"085","007","007","1400",BERGEN STREET,1400 BERGEN STREET,"085007007",FEDERAL,RESIDENTIAL,,"031",false
"53",ALBANY II,BROOKLYN,"085","008","008","1414",BERGEN STREET,1414 BERGEN STREET,"085008008",FEDERAL,RESIDENTIAL,,"031",false
"54",ALBANY II,BROOKLYN,"085","009","009","1430",BERGEN STREET,1430 BERGEN STREET,"085009009",FEDERAL,RESIDENTIAL,,"031",false
"55",AMSTERDAM,MANHATTAN,"022","001","001","40",AMSTERDAM AVENUE,40 AMSTERDAM AVENUE,"022001001",FEDERAL,RESIDENTIAL,,"022",false
"56",AMSTERDAM,MANHATTAN,"022","001","001","205",WEST 61ST STREET,205 WEST 61ST STREET,"022001001",FEDERAL,,DEVELOPMENT MANAGEMENT OFFICE/ JANITORIAL SUPPLY ROOM / MAINTENANCE SUPPLY ROOM/ STOREROOM,"022",true
"57",AMSTERDAM,MANHATTAN,"022","001","002","50",AMSTERDAM AVENUE,50 AMSTERDAM AVENUE,"022001002",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION,"022",false
"58",AMSTERDAM,MANHATTAN,"022","002","003","60",AMSTERDAM AVENUE,60 AMSTERDAM AVENUE,"022002003",FEDERAL,RESIDENTIAL,BOILER,"022",false
"59",AMSTERDAM,MANHATTAN,"022","002","004","70",AMSTERDAM AVENUE,70 AMSTERDAM AVENUE,"022002004",FEDERAL,RESIDENTIAL,,"022",false
"60",AMSTERDAM,MANHATTAN,"022","003","005","80",AMSTERDAM AVENUE,80 AMSTERDAM AVENUE,"022003005",FEDERAL,RESIDENTIAL,,"022",false
"61",AMSTERDAM,MANHATTAN,"022","003","005","206",WEST 64TH STREET,206 WEST 64TH STREET,"022003005",FEDERAL,,DAY CARE CENTER,"022",false
"62",AMSTERDAM,MANHATTAN,"022","003","006","94",AMSTERDAM AVENUE,94 AMSTERDAM AVENUE,"022003006",FEDERAL,,COMMUNITY OPERATIONS SPACE (VACANT),"022",false
"63",AMSTERDAM,MANHATTAN,"022","003","006","90",AMSTERDAM AVENUE,90 AMSTERDAM AVENUE,"022003006",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION/ COMMUNITY OPERATIONS SPACE (VACANT),"022",false
"64",AMSTERDAM,MANHATTAN,"022","004","007","216",WEST 62ND STREET,216 WEST 62ND STREET,"022004007",FEDERAL,RESIDENTIAL,,"022",false
"65",AMSTERDAM,MANHATTAN,"022","005","008","217",WEST 62ND STREET,217 WEST 62ND STREET,"022005008",FEDERAL,RESIDENTIAL,,"022",false
"66",AMSTERDAM,MANHATTAN,"022","005","009","216",WEST 63RD STREET,216 WEST 63RD STREET,"022005009",FEDERAL,RESIDENTIAL,COMMUNITY OPERATIONS SPACE (VACANT),"022",false
"67",AMSTERDAM,MANHATTAN,"022","006","010","217",WEST 63RD STREET,217 WEST 63RD STREET,"022006010",FEDERAL,RESIDENTIAL,,"022",false
"68",AMSTERDAM,MANHATTAN,"022","006","011","210",WEST 64TH STREET,210 WEST 64TH STREET,"022006011",FEDERAL,RESIDENTIAL,,"022",false
"69",AMSTERDAM,MANHATTAN,"022","006","012","218",WEST 64TH STREET,218 WEST 64TH STREET,"022006012",FEDERAL,,COMMUNITY OPERATIONS SPACE,"022",false
"70",AMSTERDAM,MANHATTAN,"022","006","012","216",WEST 64TH STREET,216 WEST 64TH STREET,"022006012",FEDERAL,RESIDENTIAL,,"022",false
"71",AMSTERDAM,MANHATTAN,"022","007","013","228",WEST 62ND STREET,228 WEST 62ND STREET,"022007013",FEDERAL,RESIDENTIAL,,"022",false
"72",AMSTERDAM,MANHATTAN,"022","008","014","229",WEST 62ND STREET,229 WEST 62ND STREET,"022008014",FEDERAL,RESIDENTIAL,,"022",false
"73",AMSTERDAM,MANHATTAN,"022","008","015","228",WEST 63RD STREET,228 WEST 63RD STREET,"022008015",FEDERAL,RESIDENTIAL,LAUNDRY ROOM,"022",false
"74",AMSTERDAM,MANHATTAN,"022","009","016","242",WEST 62ND STREET,242 WEST 62ND STREET,"022009016",FEDERAL,RESIDENTIAL,,"022",false
"75",AMSTERDAM,MANHATTAN,"022","010","017","241",WEST 62ND STREET,241 WEST 62ND STREET,"022010017",FEDERAL,RESIDENTIAL,,"022",false
"76",AMSTERDAM,MANHATTAN,"022","010","018","242",WEST 63RD STREET,242 WEST 63RD STREET,"022010018",FEDERAL,RESIDENTIAL,,"022",false
"77",AMSTERDAM,MANHATTAN,"022","011","019","249",WEST 61ST STREET,249 WEST 61ST STREET,"022011019",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION,"022",false
"78",AMSTERDAM,MANHATTAN,"022","011","020","250",WEST 61ST DRIVE,250 WEST 61ST DRIVE,"022011020",FEDERAL,RESIDENTIAL,,"022",false
"79",AMSTERDAM,MANHATTAN,"022","012","021","247",WEST 61ST DRIVE,247 WEST 61ST DRIVE,"022012021",FEDERAL,RESIDENTIAL,,"022",false
"80",AMSTERDAM,MANHATTAN,"022","012","022","248",WEST 62ND STREET,248 WEST 62ND STREET,"022012022",FEDERAL,RESIDENTIAL,,"022",false
