ElectDist,Shape_Leng,Shape_Area,coun_dist
"44012",1261.61338364000,94715.80517769999,"38"
"44052",5263.21248743000,936993.56971299998,"39"
"44053",5454.89353853000,1437541.49316000007,"39"
"44056",4427.90951733000,1134281.96668999991,"39"
"44060",4488.76608187000,866902.51157900004,"39"
"44062",2690.17888904000,439900.55561600003,"39"
"44064",2023.77925038000,255642.90756299999,"39"
"44065",4289.65538636000,667466.79560700001,"38"
"44066",5190.74356083000,1414380.39598000003,"38"
"48001",2640.58205025000,421189.42203500000,"38"
"48002",2651.21392183000,414943.73781600001,"38"
"48003",5031.50783588000,1121298.85803000000,"44"
"49001",4165.05849102000,1016118.07345000003,"38"
"49002",3119.36634330000,608472.47785599995,"38"
"49003",4162.10400747000,609588.69122000004,"38"
"49004",4683.33321982000,812436.99287299998,"38"
"49005",4202.19582321000,1029812.75924000004,"38"
"49006",3159.35697065000,623790.37709800003,"38"
"49007",4199.55054037000,842655.41635299998,"38"
"49009",4780.93790514000,1038738.47874000005,"38"
"49010",4071.38382108000,787136.55966100004,"38"
"49011",5075.21934671000,830994.93287400005,"38"
"49012",2082.31235928000,203478.61848500001,"38"
"49013",2078.93217645000,202625.95277000000,"38"
"49014",3964.15050685000,353915.40290699998,"38"
"49015",7288.74195895000,1750014.68073999998,"38"
"49016",10320.08233200000,1753003.83578999992,"38"
"49017",6115.12455010000,1177839.80214999989,"38"
"49018",2120.59712514000,218492.43567700000,"38"
"49019",5245.35991502000,943143.12344200001,"43"
"49020",4563.09824910000,939031.33399299998,"38"
"49021",6809.88828155000,1166707.97421999997,"43"
"49030",5718.44950289000,810718.39794699999,"38"
"49031",3462.11371726000,737085.19122399995,"38"
"49032",2083.54917321000,203974.65716999999,"38"
"49033",2079.33724059000,202571.96838800001,"38"
"49037",4996.30300012000,967194.66498899995,"38"
"49042",3340.50075804000,696326.42211000004,"38"
"49046",11778.97096680000,1444564.58642000007,"44"
"49055",7016.55369702000,1182624.19542000000,"43"
"49060",1041.91109810000,67291.80121049999,"44"
"49061",4871.09383630000,1448357.51649999991,"38"
"49062",4718.90011288000,825505.22097300005,"38"
"49064",3208.68455460000,643601.70393600001,"38"
"49066",3122.82993678000,609333.30050899996,"38"
"49067",2603.15225102000,406675.19440300000,"38"
"49068",3122.30223761000,609247.80064799997,"38"
"49069",4761.19681366000,842450.96620400005,"38"
"51001",8718.57963098000,1926780.07939999993,"38"
"51002",4679.03741429000,809625.23889899999,"38"
"51003",4651.52061588000,714378.96144300001,"38"
"51004",3645.80615596000,406942.60449599999,"38"
"51005",4156.54666492000,608524.15137500002,"38"
"51006",3123.54632879000,609911.30944500002,"38"
"51008",5701.22108191000,660873.20990699995,"39"
"51010",20323.52616660000,23297938.05480000004,"38"
"51011",4120.39388691000,911341.73426800000,"38"
"51012",3124.40708328000,608945.98580200004,"38"
"51013",4148.41145891000,605956.29768600001,"38"
"51014",3122.00324493000,608907.86370600003,"38"
"51017",2606.70889936000,407248.60536400002,"38"
"51021",2493.38881884000,332447.45561700000,"38"
"51022",1447.31962336000,120883.04957800001,"39"
"51023",4707.99098703000,786387.24491000001,"38"
"51024",1918.09161873000,148371.84572799999,"38"
"51025",36157.45070190000,8437869.45368999988,"38"
"51026",1508.50724793000,90201.87376620001,"38"
"51027",4775.15029239000,1073867.48200000008,"38"
"51028",2124.37100984000,210906.81053500000,"38"
"51029",4754.84024995000,843411.63465499994,"38"
"51030",2663.22347647000,425856.37815000000,"38"
"51031",4200.01745057000,619144.16081999999,"38"
"51032",4201.41210540000,614647.47916999995,"38"
"51033",4720.46226602000,827679.67343700002,"38"
"51034",3122.41119684000,609413.39868600003,"38"
"51035",3161.26324834000,624588.53156899998,"38"
"51036",3120.95881726000,608738.70477800001,"38"
"51037",3160.71336894000,624189.19470800005,"38"
"51038",4195.41717102000,610975.86376800004,"38"
"51040",4718.01449314000,1247403.16097999993,"38"
"51041",5244.37073563000,1460169.38841999997,"38"
"51042",3688.79814260000,835500.49324700003,"38"
"51043",2480.11268400000,372369.09168299998,"39"
"51049",6836.47810472000,2018447.24647999997,"38"
"51050",6344.79590056000,1738064.44708000007,"38"
"51051",4547.53051269000,941462.80181300000,"38"
"51053",5068.27948886000,1244344.12311000004,"38"
"51054",5407.89845210000,1821507.26814000006,"38"
"51055",4966.66098783000,1189948.20658000000,"38"
